사업자번호,address,industry,ind_rank,payroll,new_payroll,employee,employment,resignation,cmp_years
1148705566,서울 강남구 영동대로142길 4,(G47711)운송장비용 주유소 운영업,5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,0.00 % (0                                            명),0.00 % (0                                            명),10 년
1148705872,"서울 송파구 삼전로 84, 2층",(P85631)외국어학원,6,"~ 4,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,12.50 % (1                                            명),12.50 % (1                                            명),- 년
1148708393,"서울 성동구 상원1길 25, 4층 4113호",응용 소프트웨어 개발 및 공급업,,,,,,,
1148708656,"서울 서초구 강남대로8길 40-13, 502호",(N74100)사업시설 유지ㆍ관리 서비스업,4,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),9 년
1148710623,서울 서초구 사평대로 102,(M73201)인테리어 디자인업,7,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,12.50 % (1                                            명),12.50 % (1                                            명),9 년
1148711321,울산 남구 장생포로 285,"(D35300)증기, 냉ㆍ온수 및 공기조절 공급업",5,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,- % (20                                            명),- % (2                                            명),9 년
1148712295,경기 구리시 한다리길 10,(G46799)그 외 기타 상품 전문 도매업,4,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,8.11 % (3                                            명),18.92 % (7                                            명),9 년
1148712577,"서울 강남구 논현로 707, 6층",(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,25.00 % (1                                            명),25.00 % (1                                            명),9 년
1148712617,"서울 서초구 사평대로 142, 상가 지층 02호",(N74100)사업시설 유지ㆍ관리 서비스업,4,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,166.67 % (5                                            명),266.67 % (8                                            명),9 년
1148712728,"서울 강남구 테헤란로 518, 8층",(K64911)금융리스업,,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,46.88 % (15                                            명),15.63 % (5                                            명),9 년
