날짜,KOSPI,건설업,의약품,철강금속,증권,금융업,기계,화학,서비스업,전기전자,운수장비,유통업,음식료품
20220721,240916,0.7050887316067183,0.5398202154313965,0.6658989229790941,0.6382726512279006,0.6348943381170846,0.6328979365874976,0.5527073656140679,0.5347719640396025,0.6947977503663698,0.6396750847479873,0.5156653296862586,0.561869298303129
20220720,238685,0.6636997630423114,0.5515301253041276,0.6925711771095708,0.6262146041105979,0.6462395521475011,0.6248471105889548,0.5658058218421252,0.5237097170598568,0.6896160622440881,0.6441587358355465,0.5368045391759795,0.5626743884899255
20220719,237097,0.6674032228028266,0.5459149026060945,0.6440932333050846,0.6115534527966558,0.6134888550653161,0.5325977368183201,0.5441447706485821,0.5216193950759251,0.6951949154445394,0.6158471378345933,0.49940637674150734,0.665073945625533
20220718,237525,0.6402920680698065,0.47405984589697203,0.5749441797844446,0.5611265703988982,0.5576213831747654,0.42129263907281356,0.5040754160863091,0.497452723616114,0.6098856096871297,0.5758369328527642,0.48498436284310387,0.5979983568438612
20220715,233098,0.6571280946460012,0.4670815198082703,0.6134569515555259,0.5991657798842339,0.5903064341659516,0.45645453334199537,0.5436826397514777,0.5018119673750168,0.6214141778207287,0.5818479803595102,0.5276473251104115,0.6430312169053134
20220714,232232,0.621698958131806,0.37874386205931887,0.5381525035551971,0.5639888934633236,0.5291769043610361,0.3371659552456312,0.4942869949703975,0.4644538863263155,0.5373235835633303,0.5600875212117742,0.46872780338065345,0.5462493502576686
20220713,232861,0.688316420841288,0.4376224988671775,0.5731983679365107,0.57493967486758,0.5782613074033689,0.3790323781972904,0.5291412453048049,0.47716260680562855,0.5322652238245436,0.6071402093259981,0.557363501903422,0.6190341280356946
20220712,231776,0.6929665005862007,0.5111020532472663,0.6222653356326202,0.6361037140099414,0.621871601809781,0.41432013261466105,0.5569839630326768,0.48589749912421626,0.5488311468018905,0.6249844068722552,0.576945860965659,0.6801171788248186
20220711,234027,0.7074635702711312,0.5015448212244071,0.6508603304224037,0.6271501911104952,0.6265866669222289,0.45269967479656037,0.563207722077773,0.49118254790317345,0.5415518608816492,0.6057068402248671,0.6269470581435024,0.7434384604777855
20220708,235061,0.6880709708803059,0.4730334892897461,0.6524820231534492,0.623476373008042,0.6175994751389984,0.4856238732861766,0.5224860130757475,0.50445216432802,0.4916379304395586,0.5783267542874637,0.5904722170400674,0.7652030566963295
20220707,233427,0.6869223517668186,0.5462450908719387,0.6591293697781,0.6354427749841226,0.6187863446521988,0.5072587248209612,0.5045885849145956,0.5032584731527754,0.48418168818711815,0.5725407384900785,0.6224389587651897,0.8014692305844502
20220706,229201,0.7340435158209242,0.5391972926113637,0.7312783764527724,0.7160137211363767,0.6916200570294375,0.5788319711037211,0.5262628215269635,0.5222869789626676,0.5391526825004547,0.6465304226710069,0.6583294561233819,0.8561155635608046
20220705,234178,0.7096395195007283,0.5015275079386035,0.6651724335148892,0.6786972961798182,0.6688961020626665,0.5418227687699679,0.5321374263828723,0.5138937690905414,0.5206501985321867,0.5956244692532293,0.6521366005573821,0.7919323138102077
20220704,230034,0.7067393275142253,0.49279240380008194,0.7185811530217314,0.7006183190713843,0.6841622974233408,0.5188308365886605,0.5188577666479294,0.4775324029067775,0.5103893974813536,0.6059728261285764,0.6681866117010271,0.8045390015306602
20220701,230542,0.6761855373043943,0.5020420689401901,0.6777212604561449,0.6924542375028594,0.6595715254136056,0.4289535551316508,0.5066914447632945,0.47218521849761047,0.460390133656442,0.5447084724365643,0.6423170159339495,0.7895879564991684
20220630,233264,0.6491954554785879,0.4191252715097127,0.637100230653328,0.6645972176048695,0.6180185896545642,0.34845730064653235,0.504949243242169,0.4697255728600715,0.43787071396470933,0.5485550692636236,0.6122953431670357,0.7230688081279912
20220629,237799,0.651785896550626,0.43055087581905993,0.6182425793456514,0.6710986034711502,0.6150418044445556,0.39850394368303776,0.5029939751639586,0.44333512391963376,0.4380645598496866,0.5404262347356721,0.5801731411080135,0.7071511183808052
20220628,242209,0.6459143737512567,0.3986660784149474,0.5738170868164767,0.6423686082669932,0.5891126022760167,0.3918924615111501,0.5103026599871608,0.4301249430187138,0.44751346686584226,0.507047402379863,0.5676816066696082,0.6397713828709528
20220627,240192,0.6840580600893116,0.4138709388708848,0.6108777359821391,0.6610801738498587,0.6088961542384628,0.4076692360266363,0.5180951816044962,0.43003039328217224,0.45175196532744577,0.5259401868896552,0.5857779437472526,0.669271954931713
20220624,236660,0.7323998211385556,0.4604385191089846,0.6343395197379158,0.6826887073664275,0.6332977394773813,0.5272908715658149,0.5137092740999841,0.4381104473589453,0.46787130523690434,0.5596581119803852,0.6231469697797474,0.7250222515196834
20220623,231432,0.7406789958470215,0.5005312572221747,0.6576326829714663,0.6988845390970039,0.6432999691545911,0.5379414332532719,0.5112176397632734,0.4374452474612774,0.47497656383381637,0.5863798535504472,0.6379908212460195,0.7622475022664172
20220622,234281,0.7506223222062858,0.47145543448051974,0.6359321888318716,0.6857381121798461,0.6388066876854421,0.5569969885358121,0.4774604920328397,0.43513000193740686,0.46998416689861555,0.6053086869508684,0.6220518299827185,0.7260936985112378
20220621,240893,0.7033449538596914,0.3784993747462806,0.6016158655128343,0.619955565377455,0.5403041733526892,0.4138938183691425,0.4080392791137962,0.3942875239486043,0.34719911901316314,0.486202546582269,0.5271042397533208,0.6065368708826422
20220620,239103,0.7237170519399105,0.4149373342405216,0.6055793128867624,0.6630734957521943,0.5421795946754837,0.6177593823288645,0.4149383936166483,0.4073147293832507,0.4052033813071705,0.5228369278762253,0.5652473055526728,0.5882172553104903
20220617,244093,0.7374674867499647,0.4176770542748216,0.6127295454760324,0.6440818982890729,0.5328015146736138,0.6527293047813116,0.404662157764908,0.3996288834419885,0.39215434098924895,0.48784381834677437,0.5583827414352811,0.5188420257917739
